10
255  65 0.000102293
265  65 0.000168483
275  65 0.000511466
285  65 0.000258742
295  65 7.22069e-05
305  65 3.00862e-05
335  65 6.01725e-06
355  65 6.01725e-06
15  75 1.80517e-05
25  75 3.61035e-05
35  75 3.61035e-05
45  75 6.01725e-05
55  75 9.02587e-05
65  75 0.000156448
75  75 0.000114328
85  75 8.42414e-05
95  75 9.02587e-05
105  75 6.61897e-05
115  75 4.21207e-05
125  75 3.00862e-05
135  75 1.20345e-05
145  75 2.4069e-05
155  75 1.80517e-05
165  75 6.01725e-06
175  75 6.01725e-06
185  75 1.80517e-05
195  75 3.61035e-05
205  75 6.01725e-05
215  75 8.42414e-05
225  75 9.62759e-05
235  75 9.62759e-05
245  75 5.41552e-05
255  75 6.61897e-05
265  75 0.000138397
275  75 0.000385104
285  75 0.000180517
295  75 3.61035e-05
305  75 3.00862e-05
315  75 1.20345e-05
335  75 6.01725e-06
345  75 6.01725e-06
355  75 1.20345e-05
15  85 1.80517e-05
25  85 1.20345e-05
35  85 2.4069e-05
45  85 4.21207e-05
55  85 5.41552e-05
65  85 5.41552e-05
75  85 9.62759e-05
85  85 9.62759e-05
95  85 0.000156448
105  85 0.000120345
115  85 4.8138e-05
125  85 6.01725e-05
135  85 5.41552e-05
145  85 1.80517e-05
155  85 2.4069e-05
165  85 1.80517e-05
175  85 4.21207e-05
185  85 2.4069e-05
195  85 1.20345e-05
205  85 7.22069e-05
215  85 2.4069e-05
225  85 7.82242e-05
235  85 7.82242e-05
245  85 7.22069e-05
255  85 7.82242e-05
265  85 0.000156448
275  85 0.00024069
285  85 0.000102293
295  85 6.01725e-05
305  85 2.4069e-05
315  85 6.01725e-06
325  85 6.01725e-06
345  85 6.01725e-06
355  85 6.01725e-06
5  95 1.20345e-05
15  95 6.01725e-06
25  95 1.80517e-05
35  95 1.80517e-05
55  95 3.00862e-05
65  95 2.4069e-05
75  95 4.8138e-05
85  95 7.82242e-05
95  95 0.000156448
105  95 0.00024069
115  95 0.000162466
125  95 0.000126362
135  95 4.21207e-05
145  95 2.4069e-05
155  95 5.41552e-05
165  95 4.8138e-05
175  95 3.00862e-05
185  95 3.61035e-05
195  95 4.21207e-05
205  95 5.41552e-05
215  95 6.01725e-05
225  95 2.4069e-05
235  95 7.82242e-05
245  95 0.000144414
255  95 0.000126362
265  95 0.000138397
275  95 0.000276793
285  95 0.000138397
295  95 6.01725e-05
305  95 3.61035e-05
315  95 1.80517e-05
325  95 6.01725e-06
345  95 1.80517e-05
355  95 6.01725e-06
15  105 6.01725e-06
25  105 1.80517e-05
45  105 1.20345e-05
65  105 4.21207e-05
75  105 3.00862e-05
85  105 0.000114328
95  105 0.000210604
105  105 0.000294845
115  105 0.000264759
125  105 0.000168483
135  105 6.01725e-05
145  105 5.41552e-05
155  105 4.8138e-05
165  105 4.21207e-05
175  105 2.4069e-05
185  105 2.4069e-05
195  105 6.01725e-05
205  105 2.4069e-05
215  105 7.22069e-05
225  105 6.61897e-05
235  105 0.000102293
245  105 0.000156448
255  105 0.000132379
265  105 0.000276793
